Hospital,Patient's Review,Class
Apollo hospital,In Apollo hospital Dr.Radha Shah at reception people Mr.Venkat helping to patients excelent way of speaking Guidense.. I felt very Happy with this people.. I strongly recommend to my Friends n Relatives to this Apollo Hospital,1
Apollo hospital,It's very well mannered staff good coordination with patients. Mrs. Praveena garu assisted very well and taken good care towards patients. Overall experience is satisfactory.,1
Apollo hospital,"Dr. Shree kumar Reddy is very experienced opthalmologist doctor in Hyderabad. I have been consulting him for 10+ years for me, family and my Friends. He did cataracts surgery for my mother and now she can see like a normal person.",1
Apollo hospital,Apollo hospital is one of the best and most trusted hospital in Asia I have treated some of my relatives and they told me that apollo was one their best choice.,1
Apollo hospital,Dr.Srikumar reddy ophthalmologist treated my mother very well. He gave correct diagnosis. And explained us in detail. Whole operation process and insurance process is smooth.,1
Apollo hospital,Dr ashwini is very excellent in treatment and way of receiving the patients. We are very happy. And secretary is very good very polite towards she helped me alot for my transplant. Overall excellence,1
Apollo hospital,Since long i was suffering from blood in cough but no doctor except Dr.Vijay kumar chennam chetty identified my problem and started the diagnosis. He is very polite and listens to each patient carefully and clearly explains the required treatment to be done. Strongly recommends dr. Vijay kumar Chennamshetty,1
Apollo hospital,Dr pallavi reddy mam and her secretary sandhya reddy mam given beyond expecting service to the patient.,1
Apollo hospital,"Doctor Rajesh fogla is a professional doctor and he helped me through my whole process of cross linking treatment and Opthalmology department of Apollo hospital jubilee hills is very good,they are cooperative and very helpful.",1
Apollo hospital,"Excellent treatment, very polite and sincere Dr. Vijay sir and team. Thank you very much I am grateful to you.",1
Apollo hospital,He is good and very polite and gave good explanation on our case.. All Set for operation next week.. Thank you sir..,1
Apollo hospital,Came here for health checkup and all the procedure from start to end was handled smoothly by the staff here and hospital is clean and neat.,1
Apollo hospital,Dr pradyut waghray good front office Divya is helpful,1
Apollo hospital,I am having very good experience whilr attending Appollo Hospital. Very personalized attention and i wish to place on record the attention given Ms Sirisha for attending my PMe Every year.,1
Apollo hospital,Health checkup.. Came here for a complete health checkup in Apollo jubilee hills and all the procedures were done with so much of ease..,1
Apollo hospital,Staff of the hospital is very helpful. They guide verywell to each sectÃ¬on. The experience was very good.,1
Apollo hospital,"The care and hospitality is very incredible besides healty treatment , tests & consultations for my father. I highly recommend everyone to visit the hospital. Thank you.",1
Dr.Sujeeth,"Iâ€™m a delicate and sensitive person, and Dr. Sujeeth I was totally impressed by the way I was treated first time when I met him in 2008 and the way he followed up. He is not only an Excellent Doctor , he is simple, superb Human being, Sober, approachable, a Great Social Worker, friendly approach with smiling face with his selfless service with his selfless services.",1
Dr.Sujeeth,Good doctor. He is very simple and gentle in his behavior. He will give sufficient time to each patient. He studies the patient and disease meticulously. We can freely interact with the doctor. He prefers surgery when it is very much required only. I never found commercial nature in him.,1
Dr.Sujeeth,"Very good doctor and kind at heart. Gives maximum time to hear patient views. His clinical diagnosis is very sharp. Most of the times he avoids surgery and does not do unnecessary surgeries. And, after treatment, he himself calls the patients and follow up their condition, which is a rare quality we see in doctors nowadays. Thank you",1
Dr.Sujeeth,He is very caring and soft spoken. He is a dedicated Doctor. He operated on me for umbilical hernia around eight years ago. I am perfectly fine now. Our trust has been building up since then. The way he talks is half of the cure for your problem.,1
Dr.Sujeeth,"Dr.Sujeeth Kumar listens to you very patiently & gives you sufficient time to say your problems. He diagnosed in no time & i was able to recover quickly, not just diagnosing correctly ,he helped me in changing my lifestyle habits. One of the best doctors I visited",1
Dr.Sujeeth,"Excellent doctor,great humanitarian.I have not yet met any other Doctor like him who takes so much personal care of the patients.He is a real à¤¦à¥‡à¤µà¤¦à¥‚à¤¤(God sent)",1
Dr.Sujeeth,"He is very good doctor, dedicated towards his proffetion and always cares his patients.A patient can freely interact with him,gives sufficient time to the patient to express their health issues. The way he handles the patient is very much impressive. He recommends surgery only when it is really required. Overall very rare kind of metal among present generation doctors.",1
Dr.Sujeeth,He is very supportive and suggest well. Good surgeon known from past 10 years. My mother was a renal transplant patient but in most risky condition he treated her in day care procedure and avoided hospital admission .Apollo is really fortunate to have a good surgeon like him. We cannot imagine our life with out him.,1
Dr.Sujeeth,He is very good doctor .. he treated my father and filled in confidence in our family.. he more than a doctor I feel,1
Dr.Sujeeth,"Very pleased with the doctor. He is caring, empathetic and most importantly you get to establish a connection with the Doctor; which I feel is seldom today. One of he best doctors I have met",1
Dr.Sujeeth,"He is very good doctor, he will take care as a family member. Sujeeth Kumar has did Hernia surgery to my mom and she recovered soon.",1
Anjhaka hospital,"I was admitted for my treatment they conducted tests.I found lab charges are very high, echo cardio charges are more than appolohospital.Dr fee is more hihgh charded Rs. 6000.Reg. charges is 1500/.Mos charged 1000/- donâ€™t know for whatNurse chages 10..",1
Vijaya hospital,Please donâ€™t approach to satish reddy.I struggled lot my mother shifted to ICU.I came for fever and he admitted.He did wrost treatment and she joined ICU .He is taken all the disigess.He donâ€™t know the treatment please cancel doctor degree.My honble ..,0
Apollo hospital,Personal experience. Worst treatment. Junior and sadist dr.Karthik from nephrology department ?(+91-996205xxxx?) is behaving like a rowdy and playing with patientâ€™s health and experimenting with patient. He will purposely complicate your simple probl..,0
KKCT hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Sri Ramachandra hospital,My mom diagnosed with cancer to confirm for further procedures they Made her fast for 6 hours and said no time today will do it later just to extend the days to be admitted @ hospital. When we asked about it they said you are not the only one we have..,0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Apollo hospital,"Had a bad experience in this hospital for my Mom. Iâ€™m writing this after my Mom passed away 15 days back.She was admitted in ICU and she suffered two cardiac arrests because of carelessness by the nurses , staff who were deployed in the hospital.Poor..",0
Venkateswara hospital,Hydrofacial treatment with Dr.Sinduja was very effective and I could feel the difference within weeks. One of the best dermatologists in the city. ..,1
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Cloudnine hospital,The hospital has very good environment and a very good environment.The staffs are very helpful. They will give their best. ..,1
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Dr.Mehta's hospital,Equcated how to handle baby good carrying more supported good multispeciality 100%Good treatment . ..,1
Prashanth multispeciality hospital,Itâ€™s a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
Sri Ramachandra hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Appasamy hospital,Amazing hospital in Chennai all features are hereAnd staff are kind very good and they provide all you need,1
Clove dental,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Nova IVI fertility,First of all I thank to Dr.Madhupriya maâ€™am. We are visited there and we suggested IUI treatment.but maâ€™am ignore that. She told you are get naturally pregnant donâ€™t need IUI. We are very happiest moments. My wife pregnent confirm yesterday.,1
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Vijaya hospital,Please donâ€™t approach to satish reddy.I struggled lot my mother shifted to ICU.I came for fever and he admitted.He did wrost treatment and she joined ICU .He is taken all the disigess.He donâ€™t know the treatment please cancel doctor degree.My honble ..,0
Apollo hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
KKCT hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Apollo hospital,Personal experience. Worst treatment. Junior and sadist dr.Karthik from nephrology department ?(+91-996205xxxx?) is behaving like a rowdy and playing with patientâ€™s health and experimenting with patient. He will purposely complicate your simple probl..,0
Sri Ramachandra hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Sri Ramachandra hospital,"They only look only for money and never respond back on refund.Doctor always look at patience for getting admitted to get more more money, they donâ€™t even give few minutes to get a second opinion. ..",0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Ayesha hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Apollo hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Apollo hospital,"Had a filling in January.. days later I had some pressure on my teeth ..and after 5 months, when I checked with another dentist .they said there was cavity beneath the filling and it has reached the nerve . I ended up with two options root canal or e..",0
Supreme speciality hospital,Its a worst hospital.dont go there.fully money minded.waiting period minimum 7 hours.dont waste time and money. ..,0
Supreme speciality hospital,"Wife got admitted accidentally as it was near her office not really emergency, they made quick bucks not to be mentioned anything worth many clinics offer better service ..",0
Ayesha hospital,Personal experience. Worst treatment. Junior and sadist dr.Karthik from nephrology department ?(+91-996205xxxx?) is behaving like a rowdy and playing with patientâ€™s health and experimenting with patient. He will purposely complicate your simple probl..,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
KKCT hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Xcellent care hospital,"Definitely money minded hospital. They wont let you know the actual problem of the patient particulary for inpatients. Keep on injecting drips . Room rent are very high.get swallowed. Whatever tests like blood, urine and scan tests are there in the w..",0
Supreme speciality hospital,hospital admission there are no response from the staffs & the room is not as we see .For admitted patient emergency night duty doctors are not responsible at some times.Emergency nurse calling alarm ..,0
Frontier lifeline hospital,I lost my sister who got admitted here late night for chest pain. The young duty doctor didnâ€™t seem competent enough. We could see only a nurse assisting him.. Feel that it was our mistake to have trusted this hospital for an emergency situation. .. ..,0
Supreme speciality hospital,Worst hospital.in emergency they dont help patients.IN ICU NO DOCTORS AVAILABLE IN EMERGENCY SITUATION. ..,0
Ayesha hospital,As expensive as other multiple speciality hospitals with very very poor facilities.There is one person calling himself as doctor who is a manager visits the patients for no reasons and charges Rs.1000 per visit.Atrocious place.please donâ€™t go here.,0
Kumaran hospital,"Hospital is extremely unprofessional. The nurses are extremely curt, unprofessional and rude. The facilities they provide are 0. Visiting docs are the only reason this hospital is stilll functional. Never ever visit here until your doc says.",0
